,Last name / Surname,Number of occurences among people self-identifying as given race,Surname rank among given race,% of people with surname self-identifying as given race,U.S. Rank,U.S. total occurrences,Given Race
0,Troyer,12866.0,1786,98.3,2536,13091,White
1,Yoder,43409.0,448,98.1,707,44245,White
2,Schulte,15902.0,1408,97.4,2037,16327,White
3,Wisniewski,12431.0,1845,97.4,2602,12760,White
4,Mast,12518.0,1828,97.3,2587,12869,White
5,Mcdonough,20740.0,1043,97.2,1542,21340,White
6,Stauffer,14624.0,1562,97.2,2217,15045,White
7,Hummel,14463.0,1577,97.2,2244,14878,White
8,Kaminski,13788.0,1647,97.2,2337,14190,White
9,Tierney,12895.0,1783,97.2,2491,13262,White
10,Schmitz,22345.0,970,97.2,1423,22984,White
11,Nowak,17978.0,1230,97.1,1777,18515,White
12,Epstein,12878.0,1784,97.1,2489,13269,White
13,Krueger,35615.0,570,97.1,863,36694,White
14,Maurer,19727.0,1111,97.0,1616,20333,White
15,Albrecht,16731.0,1330,97.0,1914,17256,White
16,Schreiber,15460.0,1453,97.0,2086,15945,White
17,Coughlin,13794.0,1644,97.0,2333,14226,White
18,Ouellette,13090.0,1749,97.0,2455,13498,White
19,Mueller,62350.0,291,97.0,467,64305,White
20,Fink,27564.0,780,97.0,1128,28417,White
21,Siegel,21060.0,1024,96.9,1514,21725,White
22,Kauffman,19940.0,1099,96.9,1602,20576,White
23,Kowalski,17572.0,1265,96.9,1817,18134,White
24,Omalley,16499.0,1354,96.9,1938,17027,White
25,Schrader,15950.0,1401,96.9,2021,16464,White
26,Herrmann,12649.0,1812,96.9,2541,13056,White
27,Koch,45815.0,420,96.9,657,47286,White
28,Gustafson,25619.0,838,96.9,1213,26433,White
29,Schumacher,23819.0,909,96.9,1315,24573,White
30,Toth,19275.0,1143,96.8,1649,19918,White
31,Beyer,17339.0,1282,96.8,1843,17910,White
32,Maguire,15346.0,1467,96.8,2100,15853,White
33,Horvath,15035.0,1513,96.8,2147,15538,White
34,Silverman,14808.0,1538,96.8,2179,15299,White
35,Weiner,14428.0,1580,96.8,2238,14903,White
36,Pfeiffer,13433.0,1693,96.8,2394,13870,White
37,Weinstein,13374.0,1705,96.8,2407,13809,White
38,Moeller,12678.0,1809,96.8,2533,13094,White
39,Scherer,12480.0,1835,96.8,2580,12889,White
40,Schwartz,81963.0,213,96.8,330,84699,White
41,Schmitt,34203.0,598,96.8,898,35326,White
42,Novak,34167.0,599,96.8,899,35282,White
43,Koehler,18418.0,1201,96.7,1725,19037,White
44,Knutson,16015.0,1392,96.7,2009,16560,White
45,Schneider,97205.0,174,96.7,272,100553,White
46,Seitz,11970.0,1937,96.7,2683,12375,White
47,Schroeder,64247.0,279,96.7,450,66412,White
48,Haas,32899.0,624,96.7,941,34032,White
49,Sheehan,25235.0,849,96.7,1233,26107,White
50,Shapiro,23897.0,902,96.7,1306,24712,White
51,Greenberg,20189.0,1084,96.6,1574,20908,White
52,Metzger,19689.0,1115,96.6,1613,20386,White
53,Kraus,17497.0,1272,96.6,1820,18107,White
54,Flaherty,16918.0,1316,96.6,1881,17513,White
55,Zimmer,16719.0,1331,96.6,1907,17315,White
56,Pelletier,16676.0,1336,96.6,1911,17267,White
57,Schwab,15772.0,1420,96.6,2035,16332,White
58,Hoffmann,15421.0,1458,96.6,2082,15970,White
